person_age,sex,education,married,person_income,person_home_ownership,has_car,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,itd,term,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,verification_status,loan_status
22,Male,Post PHD,1,59000,RENT,1,123.0,PERSONAL,D,35000,16.02,7.264757307853325,60 months,0.59,Y,3,0,1
21,Male,Master,0,9600,OWN,1,5.0,EDUCATION,B,1000,11.14,25.91326255173655,36 months,0.1,N,2,1,0
25,Male,Secondary,0,9600,MORTGAGE,0,1.0,MEDICAL,C,5500,12.87,4.639287353914801,36 months,0.57,N,3,1,1
23,Male,Secondary,0,65500,RENT,1,4.0,MEDICAL,C,35000,15.23,4.872243091456837,36 months,0.53,N,2,1,1
24,Female,Secondary,0,54400,RENT,0,8.0,MEDICAL,C,35000,14.27,4.080561077148108,36 months,0.55,Y,4,1,1
21,Female,Master,1,9900,OWN,1,2.0,VENTURE,A,2500,7.14,11.088295687885013,36 months,0.25,N,2,1,1
26,Female,PHD,1,77100,RENT,1,8.0,EDUCATION,B,35000,12.42,5.878465956743844,36 months,0.45,N,3,0,1
24,Female,Secondary,1,78956,RENT,1,5.0,MEDICAL,B,35000,11.11,6.090952338094809,36 months,0.44,N,4,1,1
24,Male,PHD,1,83000,RENT,0,8.0,PERSONAL,A,35000,8.9,6.532861078315624,36 months,0.42,N,2,1,1
21,Male,PHD,0,10000,OWN,1,6.0,VENTURE,D,1600,14.74,16.34129335889838,36 months,0.16,N,3,1,1
22,Male,Secondary,0,85000,RENT,0,6.0,VENTURE,B,35000,10.37,11.00195446485199,60 months,0.41,N,4,1,1
21,Female,Secondary,1,10000,OWN,1,2.0,HOMEIMPROVEMENT,A,4500,8.63,6.137040105557089,36 months,0.45,N,2,1,1
23,Female,Others,0,95000,RENT,1,2.0,VENTURE,A,35000,7.9,7.546670197272607,36 months,0.37,N,2,0,1
26,Female,Post PHD,1,108160,RENT,1,4.0,EDUCATION,E,35000,18.39,7.830777213326415,36 months,0.32,N,4,1,1
23,Female,Master,0,115000,RENT,1,2.0,EDUCATION,A,35000,7.9,9.135442870382631,36 months,0.3,N,4,1,0
23,Male,Bachelor,1,500000,MORTGAGE,0,7.0,DEBTCONSOLIDATION,B,30000,10.65,45.187528242205154,36 months,0.06,N,3,1,0
23,Female,Master,1,120000,RENT,1,0.0,EDUCATION,A,35000,7.9,9.532636038660137,36 months,0.29,N,4,1,0
23,Male,PHD,0,92111,RENT,1,7.0,MEDICAL,F,35000,20.25,6.565678645678647,36 months,0.32,N,4,1,1
23,Male,Secondary,1,113000,RENT,1,8.0,DEBTCONSOLIDATION,D,35000,18.25,8.190878888553307,36 months,0.31,N,4,1,1
24,Male,Master,1,10800,MORTGAGE,0,8.0,EDUCATION,B,1750,10.99,27.801732459809767,60 months,0.16,N,2,1,1
25,Male,Others,0,162500,RENT,1,2.0,VENTURE,A,35000,7.49,12.958016028069055,36 months,0.22,N,4,1,0
